stdDay,areaName,nationName,defCnt,dayDefCnt,deathCnt,dayDeathCnt
2021-01-03,유럽,리히텐슈타인,2221,0,33,0
2021-01-03,유럽,슬로베니아,124343,393,2877,35
2021-01-03,유럽,"보스니아 헤르체고비나",112143,1158,4086,36
2021-01-03,유럽,헝가리,326688,1410,9781,114
2021-01-03,유럽,우크라이나,1069517,5038,18731,51
2021-01-03,유럽,폴란드,1312780,7006,29058,102
2021-01-03,유럽,안도라,8117,68,84,0
2021-01-03,유럽,라트비아,41615,711,644,9
2021-01-03,유럽,포르투갈,420629,6951,6972,66
2021-01-03,유럽,체코,735469,3447,11827,116
2021-01-03,유럽,아일랜드,93532,1753,2248,11
2021-01-03,유럽,아르메니아,158722,0,2818,0
2021-01-03,유럽,룩셈부르크,46813,215,501,3
2021-01-03,유럽,모나코,885,10,3,0
2021-01-03,유럽,아이슬란드,5754,0,29,0
2021-01-03,유럽,아제르바이잔,219041,341,2670,29
2021-01-03,유럽,산마리노,2428,95,59,0
2021-01-03,유럽,리투아니아,145399,1496,1614,25
2021-01-03,유럽,벨라루스,196223,1939,1433,9
2021-01-03,유럽,네덜란드,805731,8215,11537,98
2021-01-03,유럽,루마니아,636201,3938,15841,74
2021-01-03,유럽,노르웨이,48278,0,436,0
2021-01-03,유럽,북마케도니아,83743,414,2510,7
2021-01-03,유럽,그리스,139447,597,4881,43
2021-01-03,유럽,조지아,228752,342,2572,44
2021-01-03,유럽,에스토니아,28789,383,241,7
2021-01-03,유럽,덴마크,165930,2451,1322,24
2021-01-03,유럽,벨기에,648289,1793,19581,53
2021-01-03,유럽,스위스,450075,0,7049,0
2021-01-03,유럽,스웨덴,437379,0,8727,0
2021-01-03,유럽,핀란드,36107,0,561,0
2021-01-03,유럽,크로아티아,212262,255,4016,55
2021-01-03,유럽,오스트리아,361472,2110,6177,46
2021-01-03,유럽,스페인,1893502,0,50442,0
2021-01-03,유럽,영국,2542069,53285,74125,613
2021-01-03,유럽,프랑스,2595661,19241,64387,133
2021-01-03,유럽,독일,1755351,12690,33960,336
2021-01-03,유럽,이탈리아,2129376,22210,74621,462
2021-01-03,아메리카,수리남,6210,29,122,1
2021-01-03,아메리카,가이아나,6332,13,164,0
2021-01-03,아메리카,베네수엘라,113562,441,1028,3
2021-01-03,아메리카,파라과이,107932,974,2262,20
2021-01-03,아메리카,우루과이,19119,639,181,7
2021-01-03,아메리카,볼리비아,160124,1752,9165,16
2021-01-03,아메리카,아르헨티나,1625514,11586,43245,82
2021-01-03,아메리카,콜롬비아,1642775,16314,43213,304
2021-01-03,아메리카,칠레,612564,3591,16660,52
2021-01-03,아메리카,에콰도르,213378,866,14051,17
2021-01-03,아메리카,페루,1015137,2523,37680,59
2021-01-03,아메리카,브라질,7675973,56773,194949,1074
2021-01-03,아메리카,세인트키츠네비스,32,0,0,0
2021-01-03,아메리카,도미니카연방,96,0,0,0
2021-01-03,아메리카,세인트빈센트그레나딘,121,2,0,0
2021-01-03,아메리카,세인트루시아,353,0,5,0
2021-01-03,아메리카,그레나다,134,0,0,0
2021-01-03,아메리카,앤티가바부다,159,0,5,0
2021-01-03,아메리카,바베이도스,383,11,7,0
2021-01-03,아메리카,바하마,7871,0,170,0
2021-01-03,아메리카,아이티,10015,0,236,0
2021-01-03,아메리카,트리니다드토바고,7150,18,127,1
2021-01-03,아메리카,자메이카,12915,88,303,1
2021-01-03,아메리카,쿠바,12056,193,146,0
2021-01-03,아메리카,도미니카공화국,172218,1433,2416,2
2021-01-03,아메리카,니카라구아,4829,0,165,0
2021-01-03,아메리카,벨리즈,10776,52,248,6
2021-01-03,아메리카,엘살바도르,45960,0,1343,7
2021-01-03,아메리카,코스타리카,169321,1207,2185,14
2021-01-03,아메리카,과테말라,138236,224,4820,7
2021-01-03,아메리카,온두라스,122763,936,3141,11
2021-01-03,아메리카,파나마,246790,4046,4022,47
2021-01-03,아메리카,멕시코,1426094,12159,125807,910
2021-01-03,아메리카,캐나다,572982,0,15472,0
2021-01-03,아메리카,미국,19578217,231427,339550,3761
2021-01-03,중동,예멘,2105,2,611,0
2021-01-03,중동,알제리,99610,0,2756,0
2021-01-03,중동,아랍에미리트,209678,1856,671,2
2021-01-03,중동,이스라엘,425582,17305,3338,60
2021-01-03,중동,튀니지,140557,1417,4730,54
2021-01-03,중동,시리아,11526,92,717,6
2021-01-03,중동,사우디아라비아,362878,137,6230,7
2021-01-03,중동,카타르,144042,208,245,0
2021-01-03,중동,오만,128867,0,1499,0
2021-01-03,중동,모로코,440970,1777,7425,37
2021-01-03,중동,리비아,100744,467,1487,9
2021-01-03,중동,레바논,183888,2385,1466,11
2021-01-03,중동,쿠웨이트,150869,285,936,2
2021-01-03,중동,요르단,295765,1271,3851,17
2021-01-03,중동,이라크,596193,902,12824,11
2021-01-03,중동,이집트,139471,1409,7687,56
2021-01-03,중동,바레인,92913,238,352,0
2021-01-03,중동,이란,1231429,6286,55337,114
2021-01-03,아시아,타지키스탄,13182,0,89,0
2021-01-03,아시아,라오스,41,0,0,0
2021-01-03,아시아,미얀마,125053,423,2697,15
2021-01-03,아시아,동티모르,44,0,0,0
2021-01-03,아시아,키르기스스탄,81214,58,1358,2
2021-01-03,아시아,우즈베키스탄,77182,122,614,0
2021-01-03,아시아,카자흐스탄,202159,1716,2749,0
2021-01-03,아시아,몽골,1220,5,0,0
2021-01-03,아시아,브루나이,152,0,3,0
2021-01-03,아시아,방글라데시,514500,990,7576,17
2021-01-03,아시아,몰디브,13804,47,48,0
2021-01-03,아시아,부탄,689,19,0,0
2021-01-03,아시아,인도네시아,751270,8072,22329,191
2021-01-03,아시아,파키스탄,482178,2463,10176,71
2021-01-03,아시아,아프가니스탄,52586,73,2211,10
2021-01-03,아시아,스리랑카,43856,557,204,0
2021-01-03,아시아,네팔,261019,426,1864,8
2021-01-03,아시아,캄보디아,379,1,0,0
2021-01-03,아시아,필리핀,475820,1756,9248,4
2021-01-03,아시아,인도,10305788,19079,149218,224
2021-01-03,아시아,베트남,1474,9,35,0
2021-01-03,아시아,말레이시아,115078,2068,474,3
2021-01-03,아시아,태국,7163,279,63,2
2021-01-03,아시아,싱가포르,58629,30,29,0
2021-01-03,아시아,일본,238012,3617,3514,54
2021-01-03,아시아,마카오,46,0,0,0
2021-01-03,아시아,대만,808,6,7,0
2021-01-03,아시아,홍콩,8923,34,150,1
2021-01-03,아시아,중국,87117,46,4634,0
2021-01-03,아시아,한국,63244,651,962,20
2021-01-04,기타,"기타지역 영토",326541,2137,3959,34
2021-01-04,아프리카,레소토,2577,0,50,0
2021-01-04,아프리카,코모로,864,99,13,4
2021-01-04,아프리카,상투메프린시페,1024,10,17,0
2021-01-04,아프리카,남수단,3558,0,63,0
2021-01-04,아프리카,말라위,6711,128,192,3
2021-01-04,아프리카,시에라리온,2560,0,76,0
2021-01-04,아프리카,브룬디,833,11,2,0
2021-01-04,아프리카,보츠와나,14805,780,42,2
2021-01-04,아프리카,말리,7226,136,276,7
2021-01-04,아프리카,기니비사우,2447,0,45,0
2021-01-04,아프리카,모잠비크,18968,326,168,2
2021-01-04,아프리카,우간다,35712,496,274,23
2021-01-04,아프리카,에리트레아,1320,0,3,0
2021-01-04,아프리카,앙골라,17608,55,407,2
2021-01-04,아프리카,마다가스카르,17767,53,262,1
2021-01-04,아프리카,소말리아,4714,0,130,0
2021-01-04,아프리카,짐바브웨,14491,624,377,14
2021-01-04,아프리카,카보베르데,11883,43,113,0
2021-01-04,아프리카,니제르,3208,0,102,0
2021-01-04,아프리카,차드,2169,56,104,0
2021-01-04,아프리카,모리셔스,527,0,10,0
2021-01-04,아프리카,잠비아,21230,505,392,4
2021-01-04,아프리카,감비아,3802,2,124,0
2021-01-04,아프리카,지부티,5841,1,61,0
2021-01-04,아프리카,탄자니아,509,0,21,0
2021-01-04,아프리카,라이베리아,1800,0,83,0
2021-01-04,아프리카,베냉,3251,0,44,0
2021-01-04,아프리카,세이쉘,284,17,0,0
2021-01-04,아프리카,르완다,8567,184,98,6
2021-01-04,아프리카,모리타니아,14364,722,347,23
2021-01-04,아프리카,에스와티니,9711,353,227,21
2021-01-04,아프리카,적도기니,5277,0,86,0
2021-01-04,아프리카,콩고,6200,0,100,0
2021-01-04,아프리카,중앙아프리카공화국,4963,0,63,0
2021-01-04,아프리카,나미비아,24654,713,213,8
2021-01-04,아프리카,케냐,96678,220,1685,15
2021-01-04,아프리카,기니,13784,62,81,0
2021-01-04,아프리카,가나,55064,293,335,0
2021-01-04,아프리카,가봉,9571,0,64,0
2021-01-04,아프리카,에티오피아,125049,785,1944,21
2021-01-04,아프리카,수단,23316,0,1468,0
2021-01-04,아프리카,코트디부아르,22250,0,137,0
2021-01-04,아프리카,DR콩고,17848,474,591,0
2021-01-04,아프리카,부르키나파소,6940,233,86,1
2021-01-04,아프리카,토고,3683,50,68,0
2021-01-04,아프리카,남아프리카공화국,1088889,31328,29175,706
2021-01-04,아프리카,카메룬,26848,0,448,0
2021-01-04,아프리카,세네갈,19511,371,416,6
2021-01-04,아프리카,나이지리아,89163,1653,1302,13
2021-01-04,오세아니아,바누아투,1,0,0,0
2021-01-04,오세아니아,솔로몬제도,17,0,0,0
2021-01-04,오세아니아,마셜제도,4,0,0,0
2021-01-04,오세아니아,파푸아뉴기니,780,0,9,0
2021-01-04,오세아니아,피지,49,0,2,0
2021-01-04,오세아니아,뉴질랜드,1825,19,25,0
2021-01-04,오세아니아,호주,28462,35,909,0
2021-01-04,유럽,러시아,3236787,24150,58506,504
2021-01-04,유럽,코소보,51688,229,1330,4
2021-01-04,유럽,몬테네그로,48969,326,685,0
2021-01-04,유럽,터키,1417697,11180,21295,202
2021-01-04,유럽,사이프러스,23445,627,129,2
2021-01-04,유럽,알바니아,58991,675,1190,9
2021-01-04,유럽,몰도바,145694,436,3020,16
2021-01-04,유럽,몰타,12997,223,220,1
2021-01-04,유럽,불가리아,202880,340,7644,40
2021-01-04,유럽,슬로바키아,187463,1219,2317,67
2021-01-04,유럽,세르비아,341904,1907,3288,38
2021-01-04,유럽,리히텐슈타인,2221,0,33,0
2021-01-04,유럽,슬로베니아,125086,743,2889,12
2021-01-04,유럽,"보스니아 헤르체고비나",112345,202,4100,14
2021-01-04,유럽,헝가리,327995,1307,9884,103
2021-01-04,유럽,우크라이나,1074093,4576,18854,123
2021-01-04,유럽,폴란드,1318562,5782,29119,61
2021-01-04,유럽,안도라,8166,49,84,0
2021-01-04,유럽,라트비아,41929,314,668,24
2021-01-04,유럽,포르투갈,423870,3241,7045,73
2021-01-04,유럽,체코,740481,5012,11960,133
2021-01-04,유럽,아일랜드,96926,3394,2252,4
2021-01-04,유럽,아르메니아,158722,0,2818,0
2021-01-04,유럽,룩셈부르크,46838,25,503,2
2021-01-04,유럽,모나코,901,16,4,1
2021-01-04,유럽,아이슬란드,5754,0,29,0
2021-01-04,유럽,아제르바이잔,219462,421,2703,33
2021-01-04,유럽,산마리노,2463,35,61,2
2021-01-04,유럽,리투아니아,146637,1238,1643,29
2021-01-04,유럽,벨라루스,198125,1902,1442,9
2021-01-04,유럽,네덜란드,814361,8630,11575,38
2021-01-04,유럽,루마니아,636201,0,15841,0
2021-01-04,유럽,노르웨이,48278,0,436,0
2021-01-04,유럽,북마케도니아,83789,46,2522,12
2021-01-04,유럽,그리스,139447,0,4881,0
2021-01-04,유럽,조지아,229169,417,2603,31
2021-01-04,유럽,에스토니아,29131,342,244,3
2021-01-04,유럽,덴마크,167541,1611,1345,23
2021-01-04,유럽,벨기에,649169,880,19644,63
2021-01-04,유럽,스위스,450075,0,7049,0
2021-01-04,유럽,스웨덴,437379,0,8727,0
2021-01-04,유럽,핀란드,36107,0,561,0
2021-01-04,유럽,크로아티아,212958,696,4072,56
2021-01-04,유럽,오스트리아,362963,1491,6214,37
2021-01-04,유럽,스페인,1893502,0,50442,0
2021-01-04,유럽,영국,2599793,57724,74570,445
2021-01-04,유럽,프랑스,2599127,3466,64543,156
2021-01-04,유럽,독일,1765666,10315,34272,312
2021-01-04,유럽,이탈리아,2141201,11825,74985,364
2021-01-04,아메리카,수리남,6277,67,123,1
2021-01-04,아메리카,가이아나,6351,19,164,0
2021-01-04,아메리카,베네수엘라,113562,0,1028,0
2021-01-04,아메리카,파라과이,108349,417,2262,0
2021-01-04,아메리카,우루과이,19753,634,193,12
2021-01-04,아메리카,볼리비아,162055,1931,9186,21
2021-01-04,아메리카,아르헨티나,1629594,4080,43319,74
2021-01-04,아메리카,콜롬비아,1654880,12105,43495,282
2021-01-04,아메리카,칠레,615902,3338,16724,64
2021-01-04,아메리카,에콰도르,214513,1135,14059,8
2021-01-04,아메리카,페루,1017199,2062,37724,44
2021-01-04,아메리카,브라질,7700578,24605,195411,462
2021-01-04,아메리카,세인트키츠네비스,33,1,0,0
2021-01-04,아메리카,도미니카연방,96,0,0,0
2021-01-04,아메리카,세인트빈센트그레나딘,122,1,0,0
2021-01-04,아메리카,세인트루시아,353,0,5,0
2021-01-04,아메리카,그레나다,134,0,0,0
2021-01-04,아메리카,앤티가바부다,159,0,5,0
2021-01-04,아메리카,바베이도스,395,12,7,0
2021-01-04,아메리카,바하마,7871,0,170,0
2021-01-04,아메리카,아이티,10077,62,236,0
2021-01-04,아메리카,트리니다드토바고,7158,8,127,0
2021-01-04,아메리카,자메이카,12931,16,303,0
2021-01-04,아메리카,쿠바,12225,169,146,0
2021-01-04,아메리카,도미니카공화국,172965,747,2416,0
2021-01-04,아메리카,니카라구아,4829,0,165,0
2021-01-04,아메리카,벨리즈,10807,31,249,1
2021-01-04,아메리카,엘살바도르,46242,282,1351,8
2021-01-04,아메리카,코스타리카,169321,0,2185,0
2021-01-04,아메리카,과테말라,138316,80,4827,7
2021-01-04,아메리카,온두라스,122974,211,3160,19
2021-01-04,아메리카,파나마,249733,2943,4064,42
2021-01-04,아메리카,멕시코,1437185,11091,126507,700
2021-01-04,아메리카,캐나다,587639,14657,15679,207
2021-01-04,아메리카,미국,19974413,396196,345253,5703
2021-01-04,중동,예멘,2105,0,611,0
2021-01-04,중동,알제리,100159,549,2769,13
